,trial_id,protocol_or_trial_id,trial_title,therapeutic_area,disease,sponsor,sponsor_type,primary_endpoint,secondary_endpoint,contains_nct,nct_number,drug_id
11,143637,"EudraCT Number: 2011-001914-33, HM11/9825, ISRCTN24989786, MREC N°: 11/LO/1362, MUK three, MUK-three, TrialTroveID-143637, UKCRN ID: 11457",A Phase I/IIa Dose Escalation Study of CHR-3996 in Combination With Tosedostat in Subjects With Relapsed Refractory Multiple Myeloma,Oncology,Oncology: Multiple Myeloma,"(Other Cooperative Group), CTI BioPharma {Cell Therapeutics}, University of Leeds, Leeds, UK, (Other government agency), Chroma Therapeutics","Cooperative Group, Industry, all other pharma, Academic, Government, Industry, all other pharma","Dose-limiting toxicities, Maximum tolerated dose, Overall response rate, Response rate, Safety and Tolerability, Stable Disease","Overall survival, Progression-free survival, Safety and Tolerability, Treatment compliance",False,,31946
12,143614,TrialTroveID-143614,"A Pivotal, Multinational, Phase II/III, Randomized Controlled Study of Tosedostat in Combination with Vidaza in Acute Myeloid Leukemia (AML) and MDS Patients Who Have Already Relapsed or Proved Refractory to Prior Treatments.",Oncology,"Oncology: Leukemia, Acute Myelogenous; Oncology: Myelodysplastic Syndrome",CTI BioPharma {Cell Therapeutics},"Industry, all other pharma",Overall survival,,False,,31946
13,133008,"2010-0348, CHR-2797-045, Ext-CHR-2797-038, NCT01180426, TOPAZ, TrialTroveID-133008",The TOPAZ Study: A Long-Term Extension Study in Elderly Subjects With Relapsed/Refractory Acute Myeloid Leukemia to Allow Continued Therapy With Tosedostat,Oncology,"Oncology: Leukemia, Acute Myelogenous","CTI BioPharma {Cell Therapeutics}, Chroma Therapeutics","Industry, all other pharma, Industry, all other pharma","Adverse Events, Safety and Tolerability, Safety and Tolerability, Serious Adverse Events, Vital signs","Complete response, Disease-free survival, Event-free survival, Overall survival, Partial response, Stable Disease, Time to response",True,NCT01180426,31946
14,129896,"EudraCT number: 2009-013094-17, EudraCT number: 2009-014455-68, HO103LEN Hovon, HO103TOS, HOVON 103, HOVON 103 AML, HOVON 103 AML Lenalidomide, HOVON 103 AML Tosedostat, HOVON103AML/SAKK30/Lenalidomide, HOVON103AMLLEN, HOVON103AMLLenalidomide, HOVON103AMLTosedostat, KWF 2009-4591, LN_NN_2010_396, NL29253.078.09, NL30483.078.09, NTR2294, NTR2477, Octopus, SAKK 30/10, TrialTroveID-129896",A Randomized Phase II Multicenter Study To Assess The Tolerability And Efficacy Of The Addition Of New Drugs To Standard Induction Chemotherapy In AML And RAEB > Or = 66 Years And Very Poor Risk AML > Or = 18 Years,Oncology,"Oncology: Leukemia, Acute Myelogenous; Oncology: Myelodysplastic Syndrome","Dutch-Belgian Cooperative Trial Group for Hematology Oncology (HOVON), Bristol-Myers Squibb/Celgene, Dutch Cancer Society, Swiss Group for Clinical Cancer Research - SAKK","Cooperative Group, Industry, Top 20 Pharma, Not for Profit Funding Entity, Cooperative Group","Dose-limiting toxicities, Neutropenia, Safety and Tolerability, Safety and Tolerability","Disease-free survival, Event-free survival, Gene expression profiling, Minimal Residual Disease, Overall survival",False,,31946
15,66595,"10-002, 16835A, 2009-0187, CHR-2797-038, EudraCT Number: 2008-006799-32, HUM00027102, McG 0927, NCT00780598, OPAL, TrialTroveID-066595","The OPAL Study: A Phase II Study to Evaluate the Efficacy, Safety and Tolerability of Tosedostat (CHR-2797) in Elderly Subjects With Treatment Refractory or Relapsed Acute Myeloid Leukemia",Oncology,"Oncology: Leukemia, Acute Myelogenous; Oncology: Myelodysplastic Syndrome","CTI BioPharma {Cell Therapeutics}, Chroma Therapeutics","Industry, all other pharma, Industry, all other pharma","Complete response, Safety and Tolerability","Complete response, Duration of overall response, Plasma concentration, Safety and Tolerability, Safety and Tolerability",True,NCT00780598,31946
16,66593,"CHR-2797-005, NCT00522938, TrialTroveID-066593","A Phase I-II, Multicenter, Open-Label Trial of Co-Administered CHR-2797 and Erlotinib in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer.",Oncology,"Oncology: Lung, Non-Small Cell",Chroma Therapeutics,"Industry, all other pharma","Maximum tolerated dose, Overall response rate, Safety and Tolerability","Safety and Tolerability, Safety and Tolerability",True,NCT00522938,31946
17,44699,"CHR-2797-003, EMC 06/173, EudraCT# 2006-002498-35, NCT00737555, TrialTroveID-044699",A Phase Ib Dose-Escalation Study to Evaluate the Safety and Tolerability of the Addition of the Aminopeptidase Inhibitor CHR-2797 to Paclitaxel in Patients With Advanced or Refractory Tumours.,Oncology,Oncology: Unspecified Solid Tumor,Chroma Therapeutics,"Industry, all other pharma","Dose-limiting toxicities, Maximum tolerated dose, Safety and Tolerability","Overall response rate - duration, Time to progression",True,NCT00737555,31946
18,44697,"06/MRE05/5, CHR-2797-002, EudraCT Number: 2005-004955-36, N0258175368, NCT00689000, TrialTroveID-044697","A Phase I-II Study to Evaluate the Safety, Tolerability and Anti-Disease Activity of the Aminopeptidase Inhibitor, CHR-2797, in Elderly and/or Treatment Refractory patients with Acute Myeloid Leukaemia or Multiple Myeloma.",Oncology,"Oncology: Leukemia, Acute Myelogenous; Oncology: Multiple Myeloma; Oncology: Myelodysplastic Syndrome",Chroma Therapeutics,"Industry, all other pharma","Complete response, Dose-limiting toxicities, Hemoglobin level, Maximum tolerated dose, Myalgia, Nausea, Partial response, Platelet count, Safety and Tolerability, Stable Disease, Vomiting","Safety and Tolerability, Safety and Tolerability",True,NCT00689000,31946
19,44696,"04/Q1702/71, CHR-2797-001, N0258150005, NCT00692354, TrialTroveID-044696","A Phase I Study to Evaluate the Safety and Tolerability, of the Aminopeptidase Inhibitor, CHR-2797, in Patients With Advanced Tumours.",Oncology,"Oncology: (N/A); Oncology: Bladder; Oncology: Breast; Oncology: Colorectal; Oncology: Esophageal; Oncology: Gastric; Oncology: Liver; Oncology: Lung, Non-Small Cell; Oncology: Melanoma; Oncology: Ovarian; Oncology: Pancreas; Oncology: Prostate; Oncology: Renal; Oncology: Soft Tissue Sarcoma","Institute of Cancer Research - UK, Chroma Therapeutics","Academic, Industry, all other pharma","Dose-limiting toxicities, Maximum tolerated dose, Safety and Tolerability",Progressive disease rate,True,NCT00692354,31946
20,378082,"ACTRN12620000707965, TrialTroveID-378082","A Multicenter, Phase III, Double-Blind, Randomized, Placebo-Controlled Study to Evaluate the Efficacy of the recombinant BCG VPM1002 on the Incidence or Disease Severity of SARS-COV-2/COVID-19 Among High-Risk Participants in Australia",Infectious Disease; Vaccines (Infectious Disease),"Infectious Disease: Novel coronavirus (2019-nCoV, COVID-19); Vaccines (Infectious Disease): Respiratory Vaccines",Serum Institute of India,"Industry, all other pharma",,"Adverse Events, VRC-prompted Elevated Temperature",False,,35114
21,376649,"20-5413, COBRA, NCT04439045, TrialTroveID-376649","A randomized, double-blind, placebo controlled phase 3 study: Efficacy and safety of Recombinant BCG VPM1002 in reducing SARS-COV-2 infection rate and COVID-19 severity.",Infectious Disease; Vaccines (Infectious Disease),"Infectious Disease: Novel coronavirus (2019-nCoV, COVID-19); Vaccines (Infectious Disease): Respiratory Vaccines","(Other Cooperative Group), Serum Institute of India, University Health Network, Toronto, Verity Pharmaceuticals","Cooperative Group, Industry, all other pharma, Academic, Industry, all other pharma",,"Adverse Events, Brain Natriuretic Peptide concentration, C reactive protein, Mortality, Stroke",True,NCT04439045,35114
22,376417,"EudraCT Number: 2020-001675-33, NCT04435379, TrialTroveID-376417, VPM1002-DE-3.07CoV","A phase III, randomized, double-blind, placebo-controlled, multicentre, clinical trial to assess the efficacy and safety of VPM1002 in reducing hospital admissions and/or severe respiratory infectious diseases in elderly in the COVID-19 pandemic by modulating the immune system",Infectious Disease; Vaccines (Infectious Disease),"Infectious Disease: Novel coronavirus (2019-nCoV, COVID-19); Vaccines (Infectious Disease): Respiratory Vaccines","(Other Hospital/Academic/Medical Center), Vakzine Projekt Management (VPM)","Academic, Industry, all other pharma",,VRC-prompted Elevated Temperature,True,NCT04435379,35114
23,374412,"EudraCT Number:2020-001376-15, NCT04387409, TrialTroveID-374412, VPM1002-DE-3.06CoV","A Phase III, Double-blind, Randomized, Placebo-controlled Multicentre Clinical Trial to Assess the Efficacy and Safety of VPM1002 in Reducing Healthcare Professionals' Absenteeism in the SARS-CoV-2 Pandemic by Modulating the Immune System",Infectious Disease; Vaccines (Infectious Disease),"Infectious Disease: Novel coronavirus (2019-nCoV, COVID-19); Vaccines (Infectious Disease): Respiratory Vaccines",Vakzine Projekt Management (VPM),"Industry, all other pharma",,VRC-prompted Elevated Temperature,True,NCT04387409,35114
24,373276,"CTRI/2020/04/024749, SII-rBCG/COVID-19/IN-01, TrialTroveID-373276","A Multicenter, Phase III, Double-Blind, Randomized, Placebo-Controlled Study to Evaluate the Efficacy of Recombinant BCG VPM1002 in Reducing Infection Incidence and Disease Severity of SARS-COV-2/COVID-19 Among High-Risk Subjects.",Infectious Disease; Vaccines (Infectious Disease),"Infectious Disease: Novel coronavirus (2019-nCoV, COVID-19); Vaccines (Infectious Disease): Respiratory Vaccines",Serum Institute of India,"Industry, all other pharma",,"Adverse Events, Serious Adverse Events",False,,35114
25,372235,"NCT04351685, PACTR202007868402718, priMe, TrialTroveID-372235, VPM1002, VPM1002-MN-3.05TB","A Multicenter, Phase III, Double-blind, Randomized, Active-controlled Study to Evaluate the Efficacy and Safety of VPM1002 in Comparison to BCG in Prevention of Mycobacterium Tuberculosis Infection in Newborn Infants",Vaccines (Infectious Disease),Vaccines (Infectious Disease): Respiratory Vaccines,"Serum Institute of India, International AIDS Vaccine Initiative, (Other government agency), Vakzine Projekt Management (VPM)","Industry, all other pharma, Not for Profit Funding Entity, Government, Industry, all other pharma",,"Safety and Tolerability, Safety and Tolerability",True,NCT04351685,35114
26,354062,TrialTroveID-354062,A Phase III Study to Evaluate Safety and Efficacy of VPM1002 and MIP(Mycrobacterium Indicus Pranii) in Healthy Household Contacts of Sputum Smear Positive TB cases that are at High Risk of Contracting the Disease to Prevent occurrence of TB among Close Contacts of a TB case,Vaccines (Infectious Disease),Vaccines (Infectious Disease): Respiratory Vaccines,(Other government agency),Government,Safety and Tolerability,,False,,35114
27,300239,TrialTroveID-300239,A Phase III Study to Evaluate VPM1002 on Newborns,Vaccines (Infectious Disease),Vaccines (Infectious Disease): Respiratory Vaccines,Serum Institute of India,"Industry, all other pharma",,,False,,35114
28,300152,"CTRI/2017/03/008266, NCT03152903, TrialTroveID-300152, VPM1002-IN-3.01TBR","A Multicenter Phase II/III Double-Blind, Randomized, Placebo Controlled Study To Evaluate The Efficacy And Safety Of VPM1002 In The Prevention Of Tuberculosis (TB) Recurrence In Pulmonary TB Patients After Successful TB Treatment",Vaccines (Infectious Disease),Vaccines (Infectious Disease): Respiratory Vaccines,Serum Institute of India,"Industry, all other pharma",,"Adverse Events, Reactogenicity, Safety and Tolerability",True,NCT03152903,35114
29,208169,"DRKS00012770, EudraCT Number: 2014-005330-58, NCT02371447, NL58065.000.16, SAKK 06/14, SNCTP000001181, TrialTroveID-208169",A Phase I/II Open Label Clinical Trial Assessing Safety and Efficacy of Intravesical Instillation of VPM1002BC in Patients With Recurrent Non-muscle Invasive Bladder Cancer After Standard BCG Therapy,Oncology,Oncology: Bladder,Swiss Group for Clinical Cancer Research - SAKK,Cooperative Group,"Adverse Events, Dose-limiting toxicities, Recurrence, Safety and Tolerability","Adverse Events, Common Terminology Criteria for Adverse Events, Overall survival, Quality of Life, Recurrence, Time to progression",True,NCT02371447,35114
30,193111,"DOH-27-1114-4798, NCT02391415, TrialTroveID-193111, VPM1002-ZA-2.13TB","Phase II Double-blind, Randomized, Controlled Study to Evaluate Safety and Immunogenicity of VPM1002 Compared With BCG in HIV-exposed and HIV-unexposed, BCG-naive Newborn Infants",Vaccines (Infectious Disease),Vaccines (Infectious Disease): Respiratory Vaccines,"(Other Cooperative Group), (Other Hospital/Academic/Medical Center), Serum Institute of India, Vakzine Projekt Management (VPM)","Cooperative Group, Academic, Industry, all other pharma, Industry, all other pharma",,,True,NCT02391415,35114
31,157607,"DOH-27-0911-3677, NCT01479972, TrialTroveID-157607, VPM1002-ZA-2.12TB","Phase II Open Label, Randomized, Controlled Study to Evaluate Safety and Immunogenicity of VPM1002 in Comparison With BCG in HIV-unexposed, BCG Naive Newborn Infants in South Africa",Vaccines (Infectious Disease),Vaccines (Infectious Disease): Respiratory Vaccines,"(Other Cooperative Group), (Other Hospital/Academic/Medical Center), Vakzine Projekt Management (VPM)","Cooperative Group, Academic, Industry, all other pharma","Adverse Events, Safety and Tolerability, Safety and Tolerability, Vital signs",Immunogenicity (other timeframe),True,NCT01479972,35114
32,126363,"DOH-27-0210-3083, NCT01113281, TrialTroveID-126363, VPM1002-ZA-1.10TB","Phase Ib Open Label, Randomized, Controlled, Dose-Escalation Study to Evaluate Safety and Immunogenicity of VPM1002 in Comparison With BCG in Healthy Volunteers in South Africa.",Vaccines (Infectious Disease),Vaccines (Infectious Disease): Respiratory Vaccines,"(Other Cooperative Group), (Other Hospital/Academic/Medical Center), Vakzine Projekt Management (VPM)","Cooperative Group, Academic, Industry, all other pharma","Adverse Events, Cardiac Telemetry, Safety and Tolerability, Vital signs",Immunogenicity (other timeframe),True,NCT01113281,35114
33,101016,"NCT00749034, TrialTroveID-101016, VPM1002-GE-1.01TB","Phase I Open Label, Randomized, Controlled, Dose-Escalation Study to Evaluate Safety and Immunogenicity of VPM1002 in Comparison With BCG in Healthy Male Volunteers Stratified for History of BCG-Vaccination.",Vaccines (Infectious Disease),Vaccines (Infectious Disease): Respiratory Vaccines,Vakzine Projekt Management (VPM),"Industry, all other pharma","Adverse Events, Cardiac Telemetry, Safety and Tolerability, Vital signs",Immunogenicity (other timeframe),True,NCT00749034,35114
34,200584,"CL-2000-II-01, NCI-2014-00486, NCT02034227, Pro00019231, TrialTroveID-200584","An Open-Label, Phase I/Phase II Study to Evaluate the Safety, Tolerability, and Antitumor Activity of the DNA Minor Groove Binding Agent SG2000 in the Treatment of Advanced Chronic Lymphocytic Leukemia and Acute Myeloid Leukemia",Oncology,"Oncology: Leukemia, Acute Myelogenous; Oncology: Leukemia, Chronic Lymphocytic",AstraZeneca {MedImmune}/Spirogen,"Industry, Top 20 Pharma","Dose-limiting toxicities, Maximum tolerated dose, Safety and Tolerability","Adverse Events, Area under the curve score, Change in oxygen saturation, Cmax, Elimination half-life, Plasma pharmacokinetics, Safety and Tolerability, Vital signs",True,NCT02034227,27148
35,116762,TrialTroveID-116762,"A Phase II Open Label Study of SG2000 for the Treatment of B-cell Chronic Lymphocytic Leukaemia (B-CLL), Multiple Myeloma (MM) and Acute Myeloid Leukemia (AML)",Oncology,"Oncology: Leukemia, Acute Myelogenous; Oncology: Leukemia, Chronic Lymphocytic; Oncology: Multiple Myeloma",AstraZeneca {MedImmune}/Spirogen,"Industry, Top 20 Pharma",,,False,,27148
36,116752,"8489, MCC-16219, MCC-VICC-GYN-1003, Moffitt NCI 8489, NCI 8489, NCI-2011-02519, NCT01199796, NCT01200797, TrialTroveID-116752, VICC GYN 1003, VICCGYN1003","A Phase II Evaluation of SJG-136 in Women With Cisplatin-Refractory or Resistant Epithelial Ovarian, Primary Peritoneal, or Fallopian Tube Carcinoma",Oncology,Oncology: (N/A); Oncology: Fallopian Tube; Oncology: Ovarian,"National Institutes of Health/National Cancer Institute, H. Lee Moffitt Cancer Center and Research Institute","Government, Academic","Complete response, Disease Progression, NCI-CTC scale, Overall response rate, Overall survival, Partial response, Progression-free survival, Progressive disease rate, Response evaluation criteria in solid tumors, Stable Disease, Time to progression","Adverse Events, Overall response rate, Overall survival, Progression-free survival, Response rate, Time to progression",True,NCT01199796,27148
37,43453,"2005-0607, 6934, MDA-2005-0607, MDACC-2005-0607, NCI-6934, NCT00301769, TrialTroveID-043453",A Phase I Study of SJG-136 in Patients With Advanced Leukemia.,Oncology,"Oncology: Leukemia, Acute Lymphocytic; Oncology: Leukemia, Acute Myelogenous; Oncology: Leukemia, Chronic Lymphocytic; Oncology: Leukemia, Chronic Myelogenous; Oncology: Myelodysplastic Syndrome","MD Anderson Cancer Center, University of Texas, National Institutes of Health/National Cancer Institute","Academic, Government","Dose-limiting toxicities, Maximum tolerated dose",,True,NCT00301769,27148
38,31251,"NCI-6816, NCT00121290, TrialTroveID-031251, VICC-PHI-0453",A Phase I Dose Escalation Study of Daily x 3 Intravenous SJG-136 in Patients With Advanced Solid Tumors,Oncology,"Oncology: (N/A); Oncology: Bladder; Oncology: Colorectal; Oncology: Gastric; Oncology: Head/Neck; Oncology: Lung, Non-Small Cell; Oncology: Lung, Small Cell; Oncology: Melanoma; Oncology: Osteosarcoma; Oncology: Ovarian; Oncology: Prostate; Oncology: Soft Tissue Sarcoma; Oncology: Thyroid","National Institutes of Health/National Cancer Institute, Pfizer, Vanderbilt-Ingram Cancer Center, Cancer Research UK, Ipsen, University College London, AstraZeneca {MedImmune}/Spirogen","Government, Industry, Top 20 Pharma, Academic, Not for Profit Funding Entity, Industry, all other pharma, Academic, Industry, Top 20 Pharma","Maximum tolerated dose, Safety and Tolerability",,True,NCT00121290,27148
39,23532,"04-076, MSKCC-04076, NCI-6818, NCT00103220, TrialTroveID-023532",A Phase I Study With SJG-136 (NSC#694501) in Patients With an Advanced Solid Tumor.,Oncology,Oncology: Unspecified Solid Tumor,"Memorial Sloan-Kettering Cancer Center, National Institutes of Health/National Cancer Institute","Academic, Government",,,True,NCT00103220,27148
40,14377,"N0256147035, N0519147934, TrialTroveID-014377",A Phase I trial of SJG-136 (a minor groove DNA binding drug) given intravenously every 21 days to patients with advanced solid tumours.,Oncology,"Oncology: Colorectal; Oncology: Esophageal; Oncology: Gastric; Oncology: Liver; Oncology: Lung, Non-Small Cell; Oncology: Melanoma; Oncology: Pancreas; Oncology: Soft Tissue Sarcoma","Cancer Research UK, Ipsen, University College London, AstraZeneca {MedImmune}/Spirogen","Not for Profit Funding Entity, Industry, all other pharma, Academic, Industry, Top 20 Pharma",Maximum tolerated dose,,False,,27148
41,175362,"EudraCT Number: 2013-000686-37, NCT02048488, PR-20-5006-C, REFMAL 290 IST, TrialTroveID-175362","A Phase I/IIa Open-Label, Dose Escalation and Cohort Expansion Trial of Oral TSR-011 in Patients With Advanced Solid Tumors and Lymphomas",Oncology,"Oncology: (N/A); Oncology: Bladder; Oncology: Breast; Oncology: Colorectal; Oncology: Gastric; Oncology: Liver; Oncology: Lung, Non-Small Cell; Oncology: Lymphoma, Hodgkin's; Oncology: Lymphoma, Non-Hodgkin's; Oncology: Melanoma; Oncology: Neuroendocrine; Oncology: Osteosarcoma; Oncology: Ovarian; Oncology: Pancreas; Oncology: Prostate; Oncology: Soft Tissue Sarcoma; Oncology: Thyroid",GlaxoSmithKline/Tesaro,"Industry, Top 20 Pharma","Adverse Events, Cmax, Dose-limiting toxicities, Elimination half-life, Elimination rate, Maximum tolerated dose, Overall response rate, Plasma concentration, Progression-free survival, Response rate, Safety and Tolerability, Safety and Tolerability, Tmax","Area under the curve score, Dose-limiting toxicities, Maximum tolerated dose, Overall response rate, Progression-free survival, Response rate",True,NCT02048488,70251
42,372752,TrialTroveID-372752,"Double-Blind, Randomized, Placebo-Controlled Phase IIb Study of RUTI Therapeutic Vaccination as Adjuvant of Tuberculosis Chemotherapy in Patients With Drug-Susceptible Tuberculosis (DS-TB) and Multidrug Resistant Tuberculosis (MDR-TB).",Vaccines (Infectious Disease),Vaccines (Infectious Disease): Respiratory Vaccines,Archivel Farma,"Industry, all other pharma",,,False,,60945
43,372275,"NCT04453488, RUTICOVID19, TrialTroveID-372275","Double-blind, Randomized, Placebo-controlled Clinical Trial to Evaluate the Efficacy of the RUTI Vaccine to Prevent SARS-CoV-2 Infection",Infectious Disease,"Infectious Disease: Novel coronavirus (2019-nCoV, COVID-19)",(Other Hospital/Academic/Medical Center),Academic,,"Adverse Events, Duration of ICU stay",True,NCT04453488,60945
44,303784,"EudraCT Number: 2016-004311-12, NCT03191578, RUTIVAC-1, TrialTroveID-303784","A Randomized, Double-Blind, Placebo-Controlled Phase I Trial to Evaluate the Immunomodulatory Effect of RUTI in Individuals With High-Risk Non-Muscle-Invasive Bladder Cancer (NMIBC) Treated With Intravesical Bacillus Calmette-Guerin (BCG)",Oncology,Oncology: Bladder,"(Other Hospital/Academic/Medical Center), Archivel Farma","Academic, Industry, all other pharma",Immune Response,"Adverse Events, Overall survival, Recurrence, Safety and Tolerability, Safety and Tolerability",True,NCT03191578,60945
45,275097,"201600136, EudraCT Number: 2016-000850-36, NCT02711735, NL56995.000.16, TrialTroveID-275097","Double-Blind, Randomized, Placebo-Controlled Phase IIa Clinical Trial to Investigate the Safety and Immunogenicity of RUTI Therapeutic Vaccination in Patients With Multi-Drug Resistant Tuberculosis After Successful Intensive-phase Treatment",Vaccines (Infectious Disease),Vaccines (Infectious Disease): Respiratory Vaccines,"(Other Hospital/Academic/Medical Center), Groningen University Hospital, Archivel Farma","Academic, Academic, Industry, all other pharma","Adverse Events, C reactive protein, Heart rate, Immunogenicity at 21 days, Immunogenicity at 28 days, Myalgia, Nausea, Safety and Tolerability, Safety and Tolerability, Vital signs",Immunogenicity (other timeframe),True,NCT02711735,60945
46,130790,TrialTroveID-130790,"A phase III, Safety, Efficacy, Non-inferiority, Proof of concept trial of the antituberculous vaccine RUTI based regimen in comparison to six months of Isoniazid treatment in subjects with tuberculosis infection",Vaccines (Infectious Disease),Vaccines (Infectious Disease): Respiratory Vaccines,Archivel Farma,"Industry, all other pharma",Safety and Tolerability,,False,,60945
